id_hd,xxxx,yyyy,year,Xnorm
metadc62555,10.311569457879342,1946.62712099356,1946,48.5
metadc62556,2.489586522921432,1943.102735368477,1943,43.0
metadc62557,2.543579155382861,1956.0519697620853,1956,108.0
metadc62558,4.6949369609193745,1945.6019506291245,1945,76.55444444444444
metadc62559,9.596502576990813,1941.9934757943438,1941,100.0
metadc62561,7.296972112591513,1943.6451055835794,1943,98.5
metadc62563,10.194097629543158,1943.1318807930645,1943,26.5
metadc62564,5.330956529474727,1945.0464301902505,1945,71.5
metadc62565,5.335942414332044,1954.8325736895426,1954,77.33333333333333
metadc62566,6.597551998884418,1945.4226100182852,1945,36.5
metadc62567,1.2409126030678872,1956.2398885114176,1956,27.6
metadc62568,3.3580645154693465,1927.1432617492599,1927,46.5
metadc62569,5.3769388255379305,1946.1618829793906,1946,60.5
metadc62570,9.162424565983367,1944.4708525933981,1944,8.0
metadc62572,8.187506578755624,1944.0941061106691,1944,47.0
metadc62573,6.345025211934731,1954.9591564221369,1954,98.0
metadc62576,0.4354488301469267,1945.4524024164807,1945,76.0
metadc62577,2.155096046275608,1940.2854832436294,1940,86.5
metadc62578,6.223422807840253,1956.5291479431066,1956,55.6
metadc62579,1.340896166131367,1942.44365399496,1942,100.5
metadc62580,1.1098561650982328,1956.6961151703265,1956,99.75
metadc62582,5.589516648035018,1942.449395037801,1942,84.0
metadc62584,3.3170090474936433,1942.391462660003,1942,67.75
metadc62586,1.2941047801756176,1942.1945600250376,1942,59.0
metadc62587,9.266625882278404,1942.2675984579328,1942,42.0
metadc62588,6.527934867380602,1954.5018730307086,1954,98.33333333333333
metadc62591,0.22991459382761475,1942.8079064368046,1942,28.0
metadc62592,4.19652873403463,1942.8514658077975,1942,100.0
metadc62593,2.1878212577577445,1943.405292449264,1943,54.8
metadc62594,4.475868788257379,1954.4436677196625,1954,53.0
metadc62595,3.3656702444732023,1942.7100870237964,1942,47.5
metadc62597,7.682843524400186,1942.5669817485675,1942,45.666666666666664
metadc62599,1.5140104546524382,1942.4643508906665,1942,95.5
metadc62600,8.591733099234412,1956.0303151743976,1956,61.333333333333336
metadc62601,5.430380759948899,1939.5664848978408,1939,76.0
